establishment_code,establishment_name,commune_code,commune_name,establishment_type,health_system_type,care_level,complexity_level,emergency_type,operating_status,latitude,longitude,coordinates_available
111010,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Central),13101,Santiago,Otro,Público,No Aplica,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.437836,-70.643062,True
111011,PRAIS (S.S Metropolitano Central),13101,Santiago,Otro,Público,No Aplica,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.455718,-70.652722,True
111030,Unidad de Salud FuncionarioS.S Metropolitano Central,13101,Santiago,Otro,Público,Segundo Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.455718,-70.652722,True
111100,Hospital Clínico San Borja Arriarán,13101,Santiago,Hospital,Público,Tercer Nivel,Alta Complejidad,Urgencia Hospitalaria (UEH),Vigente en Operación Habitual,-33.460498,-70.64232,True
111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,13119,Maipú,Hospital,Público,Tercer Nivel,Alta Complejidad,Urgencia Hospitalaria (UEH),Vigente en Operación Habitual,-33.508212,-70.774248,True
111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,13101,Santiago,Hospital,Público,Tercer Nivel,Alta Complejidad,Urgencia Hospitalaria (UEH),Vigente en Operación Habitual,-33.444004,-70.637955,True
111300,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,13101,Santiago,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.45544,-70.65273,True
111301,Centro de Salud Familiar Nº 5,13101,Santiago,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.45118,-70.67377,True
111302,Centro de Salud Familiar Padre Vicente Irarrázabal,13106,Estación Central,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.47284,-70.69189,True
111304,Centro de Salud Familiar Maipú,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.50432,-70.75815,True
111305,Centro de Salud Familiar Dr. Norman Voulliéme,13102,Cerrillos,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.49331,-70.7192,True
111306,Centro de Salud Familiar San José de Chuchunco,13106,Estación Central,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.47368,-70.70598,True
111307,Centro de Salud Familiar Enfermera Sofía Pincheira,13102,Cerrillos,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.50148,-70.73355,True
111308,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.50543,-70.77435,True
111309,Centro de Salud Familiar Dra. Ana María Juricic,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.51407,-70.7966,True
111310,Centro de Salud Familiar Las Mercedes,13106,Estación Central,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.45198,-70.70393,True
111351,Centro de Referencia de Salud de Maipú,13119,Maipú,Centro de Especialidades,Público,Segundo Nivel,Mediana Complejidad,No Aplica,Vigente en Operación Habitual,-33.508774,-70.771857,True
111370,Centro de Salud Familiar Padre Orellana,13101,Santiago,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.468114,-70.642536,True
111372,Centro de Salud Familiar Arauco,13101,Santiago,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.46803,-70.67045,True
111376,Centro de Salud Familiar Matta Sur,13101,Santiago,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.469381,-70.646077,True
111378,Centro de Salud Familiar Dr. Iván Insunza,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.48427,-70.77135,True
111379,Centro de Salud Familiar Clotario Blest,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.49003,-70.74488,True
111380,Centro de Salud Familiar Dr. Carlos Godoy,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.52776,-70.79639,True
111381,Centro de Salud Familiar Ignacio Domeyko,13101,Santiago,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.43892,-70.67247,True
111382,Centro de Salud Familiar Presidenta Michelle Bachelet,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.5254,-70.76784,True
111383,Centro de Salud Familiar Dr. Luis Ferrada,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.47317,-70.75602,True
111400,Centro Comunitario de Salud Familiar Rinconada de Maipú,13119,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.51317,-70.82542,True
111606,COSAM Estación Central,13106,Estación Central,Centro Comunitario de Salud Mental (COSAM),Público,Segundo Nivel,Mediana Complejidad,No Aplica,Vigente en Operación Habitual,-33.46567,-70.69349,True
111607,COSAM Maipú,13119,Maipú,Centro Comunitario de Salud Mental (COSAM),Público,Segundo Nivel,Mediana Complejidad,No Aplica,Vigente en Operación Habitual,-33.502803,-70.769791,True
111608,COSAM Cerrillos,13102,Cerrillos,Centro Comunitario de Salud Mental (COSAM),Público,Segundo Nivel,Mediana Complejidad,No Aplica,Vigente en Operación Habitual,-33.493615,-70.708752,True
111609,COSAM Santiago,13101,Santiago,Centro Comunitario de Salud Mental (COSAM),Público,Segundo Nivel,Mediana Complejidad,No Aplica,Vigente en Operación Habitual,-33.447963,-70.632701,True
111704,Centro Comunitario de Salud Familiar Futramapu,13119,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.5402,-70.77004,True
111780,Centro Comunitario de Salud Familiar Europa,13119,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.53588,-70.77421,True
111781,Centro Comunitario de Salud Familiar Villa Francia,13106,Estación Central,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.47482,-70.71547,True
111783,Centro Comunitario de Salud Familiar Lo Errázuriz,13119,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.47305,-70.72501,True
111784,Centro Comunitario de Salud Familiar Bueras,13119,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.49647,-70.76305,True
111800,SAPU Consultorio Nº1,13101,Santiago,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.455638,-70.652567,True
111804,SAPU Maipú,13119,Maipú,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.504336,-70.758607,True
111805,SAPU Dr. Norman Voulliéme,13102,Cerrillos,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.493334,-70.719326,True
