establishment_code,month_start,available_bed_days,occupied_bed_days,total_stay_days,discharges,death_discharges
111101,2025-01-01,13237,12183,12299,1379,44
111101,2025-02-01,11452,10375,11070,1233,36
111101,2025-03-01,12152,11346,10269,1357,40
111101,2025-04-01,12090,11400,11449,1448,38
111101,2025-05-01,12617,11707,12566,1481,50
111101,2025-06-01,11850,11303,10054,1410,53
111101,2025-07-01,12705,11774,11249,1424,64
111101,2025-08-01,12834,11742,11299,1429,59
111101,2025-09-01,12660,11472,10567,1308,45
111101,2025-10-01,12679,11709,11208,1377,52
111101,2025-11-01,13050,11202,10004,1273,42
111101,2025-12-01,12865,11549,11647,1327,44
